,B1,B2,B3,B4,Target
1,72,56,66,36,1
2,66,53,56,36,1
3,86,72,47,43,1
4,73,58,47,39,1
5,72,56,52,40,1
6,63,48,45,45,1
7,69,56,49,39,1
8,74,67,56,41,1
9,65,50,48,41,1
10,66,50,48,36,1
11,69,55,52,39,1
12,69,53,46,36,1
13,80,68,65,40,1
14,69,55,54,37,1
15,65,50,56,32,1
16,64,49,44,43,1
17,77,65,47,39,1
18,89,74,53,40,1
19,65,51,42,27,1
20,72,57,54,45,1
21,81,68,61,39,1
22,76,59,68,39,1
23,105,95,78,53,1
24,77,63,49,38,1
25,73,61,52,34,1
26,70,54,51,36,1
27,65,48,53,34,1
28,72,58,49,37,1
29,80,66,64,39,1
30,84,75,67,44,1
31,74,58,53,37,1
32,73,57,55,31,1
33,64,49,44,28,1
34,91,74,50,43,1
35,70,53,59,33,1
36,91,75,56,41,1
37,72,56,48,33,1
38,70,57,50,35,1
39,69,54,53,33,1
40,72,56,46,38,1
41,63,48,42,29,1
42,71,55,49,31,1
43,67,50,59,30,1
44,67,50,42,28,1
45,56,40,47,29,1
46,66,50,66,38,1
47,70,55,47,30,1
48,71,56,55,36,1
49,79,62,60,43,1
50,80,66,59,38,1
51,80,67,60,41,1
52,78,65,54,42,1
53,68,51,47,26,1
54,70,58,64,48,1
55,78,65,62,35,1
56,70,59,63,37,1
57,65,52,48,36,1
58,87,78,60,42,1
59,72,58,59,40,1
60,68,56,54,36,1
61,73,60,52,34,1
62,70,56,48,37,1
63,85,72,59,46,1
64,79,63,50,40,1
65,79,64,61,37,1
66,74,60,48,46,1
67,84,72,57,38,1
68,76,63,58,41,1
69,75,62,50,38,1
70,71,58,59,36,1
71,72,58,58,44,1
72,69,51,56,43,1
73,88,74,63,40,1
74,75,62,53,41,1
75,72,57,47,40,1
76,91,81,69,51,1
77,70,56,48,39,1
78,66,51,47,35,1
79,69,55,51,36,1
80,67,50,60,31,1
81,74,58,50,38,1
82,70,53,54,38,1
83,76,62,60,44,1
84,76,68,61,47,1
85,72,62,52,43,1
86,74,60,68,38,1
87,74,57,60,38,1
88,70,53,56,41,1
89,66,50,47,31,1
90,67,51,51,41,1
91,65,50,44,40,1
92,64,50,47,42,1
93,72,61,61,38,1
94,95,79,69,41,1
